algo,seed,reward,pops,frames_alive,accuracy,shots,wall_ratio,deaths
a2c,0,885.61927571009,1.8,728.25,0.11626020511047733,14.65,0.0,0.9
ppo,0,714.4865892489937,0.35,658.65,0.14791666666666667,1.3,0.4081060928764061,0.9
