episode,reward,shots,pops,deaths,frames_alive,wall_ratio,accuracy,avg_dist,reward_mode
1,604.0905241243549,0,0,1,259,0.25868725868725867,0.0,114.7967913857566,speedrunner
2,594.4228838309124,0,0,1,256,0.0,0.0,116.2374181338747,speedrunner
3,139.19246842788192,0,0,1,78,0.0,0.0,20.63311401319901,speedrunner
4,477.10993822875685,0,0,1,200,0.0,0.0,72.12507721405375,speedrunner
5,156.00416527609093,0,0,1,89,0.0,0.0,69.42650203345258,speedrunner
6,199.79600683956357,0,0,1,105,0.0,0.0,76.10474562008685,speedrunner
7,166.37789590738168,0,0,1,95,0.0,0.0,88.11080024373268,speedrunner
8,163.30808006566753,0,0,1,94,0.0,0.0,88.72851046364998,speedrunner
9,272.4306399368283,0,0,1,143,0.0,0.0,140.82055955099935,speedrunner
10,55.444874488463,0,0,1,56,0.0,0.0,89.30859603364738,speedrunner
11,159.76424247953412,0,0,1,86,0.0,0.0,33.098132326935975,speedrunner
12,195.79422089371747,0,0,1,100,0.0,0.0,50.03944776570623,speedrunner
13,187.60105736948634,0,0,1,104,0.0,0.0,98.48303516950395,speedrunner
14,3.240975400218531,0,0,1,35,0.0,0.0,37.278747141296336,speedrunner
15,63.787674316113566,0,0,1,55,0.0,0.0,38.51057129039275,speedrunner
16,200.23409226997552,0,0,1,101,0.0,0.0,46.45026665847648,speedrunner
17,603.8552190271209,0,0,1,249,0.0,0.0,87.61524194064127,speedrunner
18,249.98694705923663,0,0,1,116,0.0,0.0,36.3427865102661,speedrunner
19,70.19602536679153,0,0,1,58,0.0,0.0,50.14644238451896,speedrunner
20,233.5424038438295,0,0,1,120,0.0,0.0,95.97415865868861,speedrunner
