episode,reward,shots,pops,deaths,frames_alive,wall_ratio,accuracy,avg_dist,reward_mode
1,2072.5635455989773,8,1,1,1703,0.5601879036993541,0.125,176.19537709953767,survivor
2,32.0093452199356,0,0,1,109,0.0,0.0,211.88373752323113,survivor
3,61.95908682025893,0,0,1,116,0.9310344827586207,0.0,96.72807405060803,survivor
4,1039.1523902401718,1,0,1,1008,0.6904761904761905,0.0,242.10694928562918,survivor
5,699.6448693187111,2,1,1,552,0.5887681159420289,0.5,94.13508213884835,survivor
6,300.39856247296154,0,0,1,354,0.4717514124293785,0.0,245.41163492519559,survivor
7,2383.2050307945783,4,1,0,2000,0.6065,0.25,216.82499230135605,survivor
8,948.3240267912843,1,1,1,726,0.6487603305785123,1.0,92.8725710803824,survivor
9,877.3178514087311,0,0,1,833,0.7863145258103241,0.0,217.75639171144607,survivor
10,2000.7096541714282,0,0,1,1693,0.9432959243945659,0.0,180.5346561809133,survivor
11,-30.2837493397776,0,0,1,50,0.0,0.0,111.33749339777606,survivor
12,-7.983873925664398,0,0,1,60,0.0,0.0,44.448949380536455,survivor
13,1269.2257994329755,3,1,1,1040,0.5875,0.3333333333333333,156.47076950337717,survivor
14,674.0436203320395,4,1,1,559,0.24329159212880144,0.25,135.10409630407855,survivor
15,54.27517019755979,0,0,1,107,0.0,0.0,96.37770935719725,survivor
16,-3.774832265964889,1,0,1,69,0.0,0.0,117.4263207678613,survivor
17,25.86207969499597,2,1,1,80,0.0,0.5,94.36200190627537,survivor
18,1926.198217688149,0,0,0,2000,0.587,0.0,328.77544557796284,survivor
19,-13.501680002005074,0,0,1,58,0.5172413793103449,0.0,52.60068967245757,survivor
20,-19.613329669472435,0,0,1,56,0.0,0.0,92.52972919171802,survivor
