episode,reward,shots,pops,deaths,frames_alive,wall_ratio,accuracy,avg_dist,reward_mode
1,720.4913661573624,12,1,1,595,0.0,0.08333333333333333,145.1207007080984,survivor
2,223.92735833538535,5,0,1,265,0.0,0.0,212.9672484238014,survivor
3,1703.704570891185,32,2,1,1677,0.0,0.0625,295.01205399785835,survivor
4,80850.51211881911,3639,7,0,200000,0.0,0.0019236053860950811,625.1429447037425,survivor
5,1539.8320992069255,23,6,1,1017,0.0,0.2608695652173913,50.687266859919106,survivor
6,587.9221724377468,11,0,1,604,0.0,0.0,256.2606188429247,survivor
7,43.1866227257527,2,0,1,107,0.0,0.0,150.4129779170429,survivor
8,1143.7487902459786,18,5,1,816,0.0,0.2777777777777778,95.59510401594457,survivor
9,1126.2376381412464,18,0,1,937,0.0,0.0,172.1277277794845,survivor
10,1287.390682601217,22,1,1,1135,0.0,0.045454545454545456,219.88736449285588,survivor
11,281.1402606153701,6,0,1,285,0.0,0.0,156.2539287449647,survivor
12,2150.4735242813113,32,8,1,1510,0.0,0.25,108.60479328433456,survivor
13,2086.604487027452,31,4,1,1549,0.0,0.12903225806451613,134.12056584007377,survivor
14,2095.3145385340613,31,5,1,1542,0.0,0.16129032258064516,131.41389801100527,survivor
15,1263.5642373420847,21,4,1,1039,0.0,0.19047619047619047,189.86802822806317,survivor
16,1739.5875747368405,26,5,1,1210,0.0,0.19230769230769232,87.74480382775253,survivor
17,2873.726855118949,46,2,1,2444,0.0,0.043478260869565216,222.63362211150852,survivor
18,808.8641731734957,13,1,1,642,0.0,0.07692307692307693,126.2779025128542,survivor
19,2822.8381918644623,41,5,1,2054,0.0,0.12195121951219512,127.81081015957527,survivor
20,653.0841384397996,11,4,1,462,0.0,0.36363636363636365,54.990109913638165,survivor
