episode,reward,shots,pops,deaths,frames_alive,wall_ratio,accuracy,avg_dist,reward_mode
1,1166.5296656677056,4,1,1,468,0.0,0.25,131.5172726134053,speedrunner
2,101.68101917646882,0,0,1,75,0.0,0.0,114.59660274510398,speedrunner
3,201.0165943446881,1,0,1,106,0.0,0.0,81.80048503611309,speedrunner
4,960.135839897767,2,0,1,425,0.0,0.0,172.8965647660198,speedrunner
5,265.79174809486767,0,0,1,118,0.0,0.0,15.75900827358537,speedrunner
6,537.2820896339402,0,0,1,293,0.0,0.0,251.0221078208702,speedrunner
7,217.43475897453015,1,0,1,107,0.0,0.0,50.129067816518244,speedrunner
8,1407.931156617079,0,0,1,614,0.0,0.0,182.22265610053816,speedrunner
9,1820.9806317751013,0,0,1,765,0.0,0.0,168.68606804735094,speedrunner
10,188.3773715249343,0,0,1,96,0.0,0.0,38.209969987150245,speedrunner
11,160.95784918317253,0,0,1,89,0.0,0.0,55.51165959783,speedrunner
12,693.5993055017675,0,0,1,335,0.0,0.0,202.88111529718827,speedrunner
13,201.21783056435078,0,0,1,104,0.28846153846153844,0.0,65.75040729723361,speedrunner
14,1476.096455506171,2,0,1,678,0.028023598820058997,0.0,215.7203335154239,speedrunner
15,184.55662376580875,0,0,1,92,0.0,0.0,15.579826723345896,speedrunner
16,2276.3362303524414,3,2,1,944,0.0,0.6666666666666666,178.51794747022197,speedrunner
17,313.9525562127872,0,0,1,145,0.0,0.0,78.28869618484958,speedrunner
18,1060.7869679024209,1,0,1,485,0.0,0.0,197.89847015339302,speedrunner
19,110.10167250605392,1,0,1,72,0.0,0.0,59.50808157620176,speedrunner
20,4754.691756207114,12,0,0,2000,0.3115,0.0,204.28853047411218,speedrunner
